"system_object_id";"global_id";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"OperatingOrgName";"EntryState";"Pavilion";"Direction";"ID";"StationName";"geoData";
"10585";"1723635";"«Метро Пролетарская (выс., пос.)», площадь Крестьянская Застава (в центр)";"37.667527514865";"55.7327032730514";"площадь Крестьянская Застава";"Центральный административный округ";"Таганский район";"Тм46; Тм46";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10585";"Метро Пролетарская (выс., пос.)";"{type=Point, coordinates=[37.667527545653, 55.7327029043381]}";
"10586";"1723636";"«Цимлянская ул., 1», Краснодарская улица (от центра) (1)";"37.7753534742559";"55.6739952890084";"Краснодарская улица";"Юго-Восточный административный округ";"район Люблино";"А201; А242; А619; АС4; А657; А35";"";"активна";"нет";"от центра";"10586";"Цимлянская ул., 1";"{type=Point, coordinates=[37.7753535048879, 55.6739949198406]}";
"10587";"1723637";"«Цимлянская ул., 2», Цимлянская улица (от центра)";"37.7756972136282";"55.6718867957275";"Цимлянская улица";"Юго-Восточный административный округ";"район Люблино";"А242; А657; А35";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10587";"Цимлянская ул., 2";"{type=Point, coordinates=[37.7756972443287, 55.6718864266748]}";
"9338";"1723638";"«Южнопортовая ул., 15», Южнопортовая улица (в центр)";"37.7007452463525";"55.7082443645531";"Южнопортовая улица";"Юго-Восточный административный округ";"район Печатники";"А193";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9338";"Южнопортовая ул., 15";"{type=Point, coordinates=[37.7007452774689, 55.7082439955909]}";
"9339";"1723639";"«Школа искусств», Мичуринский проспект (от центра)";"37.5037650087067";"55.7009163547735";"Мичуринский проспект";"Западный административный округ";"район Раменки";"А47; А57; А661; А715; АБН; АН1; Тб17";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9339";"Школа искусств";"{type=Point, coordinates=[37.5037650388032, 55.70091598613]}";
"9340";"1723640";"«Стартовая ул.», Стартовая улица (в центр)";"37.6876682852987";"55.8859521063897";"Стартовая улица";"Северо-Восточный административный округ";"Лосиноостровский район";"А50; А181";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9340";"Стартовая ул.";"{type=Point, coordinates=[37.6876683162959, 55.8859517389767]}";
"9341";"1723641";"«Тайнинская ул.», улица Малыгина (в центр)";"37.6863958698657";"55.8856780921821";"улица Малыгина";"Северо-Восточный административный округ";"Лосиноостровский район";"А774; А50";"";"активна";"нет";"в центр";"9341";"Тайнинская ул.";"{type=Point, coordinates=[37.686395901206, 55.8856777247288]}";
"9342";"1723642";"«Ул. Чугунные Ворота», улица Чугунные Ворота (от центра)";"37.8075417034744";"55.6913353491902";"улица Чугунные Ворота";"Юго-Восточный административный округ";"район Выхино-Жулебино";"А169к; А169к; А169";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9342";"Ул. Чугунные Ворота";"{type=Point, coordinates=[37.8075417342347, 55.6913349803332]}";
"10352";"1723643";"«Метро Ул. Акад. Янгеля», Варшавское шоссе (от центра) (2)";"37.6006456948822";"55.5946175724955";"Варшавское шоссе";"Южный административный округ";"район Чертаново Южное";"А118; А668; А864";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10352";"Метро Ул. Акад. Янгеля";"{type=Point, coordinates=[37.6006457255689, 55.5946172033093]}";
"9344";"1723644";"«Дудкино», Киевское шоссе (в центр)";"37.4528628260859";"55.6355375110131";"Киевское шоссе";"Новомосковский административный округ";"поселение Московский";"А611; А707; А802; А863";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9344";"Дудкино";"{type=Point, coordinates=[37.4528628576553, 55.6355371419705]}";
